codigo,region,comuna,poblacion,personas_pobreza_por_ingresos,porcentaje_pobreza_por_ingresos_2022,limite_inferior_ingreso,limite_superior_ingreso,presencia_comuna_casen,tipo_de_estimacion_sae,porcentaje_pobreza_multidimensional_2022,limite_inferior_multidimensional,limite_superior_multidimensional
1101,Tarapacá,Iquique,229674.0,18122.0,0.07890380841254656,0.06490288337885841,0.0929047334462347,Sí,Directa y Sintética (Fay-Herriot),0.1827223205124273,0.1624292877673741,0.2030153532574805
1107,Tarapacá,Alto Hospicio,138527.0,21144.0,0.1526343951969381,0.1373972482743207,0.1678715421195554,Sí,Directa y Sintética (Fay-Herriot),0.3260190647401675,0.2947755370424121,0.3572625924379229
1401,Tarapacá,Pozo Almonte,18290.0,2805.0,0.1533439714492286,0.1155957665172323,0.191092176381225,Sí,Directa y Sintética (Fay-Herriot),0.249502204087565,0.1993335376656681,0.2996708705094618
1402,Tarapacá,Camiña,1380.0,332.0,0.2403646850427617,0.1613356061638178,0.3193937639217056,Sí,Sintética,0.2229181152258972,0.1377655331110766,0.3080706973407177
1403,Tarapacá,Colchane,1575.0,350.0,0.222535219863316,0.1473985390249558,0.2976719007016763,Sí,Sintética,0.3001604898924289,0.1874946670251581,0.4128263127596998
1404,Tarapacá,Huara,3072.0,555.0,0.1806587194051391,0.1328884113452651,0.2284290274650132,Sí,Directa y Sintética (Fay-Herriot),0.3856507222399186,0.3186929269041022,0.4526085175757349
1405,Tarapacá,Pica,6184.0,664.0,0.1073139711951238,0.06901734860922859,0.1456105937810189,Sí,Directa y Sintética (Fay-Herriot),0.1682191531164837,0.1194938039553859,0.2169445022775814
2101,Antofagasta,Antofagasta,438942.0,31748.0,0.07232800117803247,0.0575137347566364,0.08714226759942853,Sí,Directa y Sintética (Fay-Herriot),0.1665433860770091,0.1408523844010204,0.1922343877529977
2102,Antofagasta,Mejillones,15502.0,1107.0,0.07139740441053531,0.02361627246235982,0.1191785363587108,Sí,Sintética,0.1985396183560122,0.1265379135259108,0.2705413231861137
2103,Antofagasta,Sierra Gorda,1790.0,38.0,0.02106018445872439,0.0,0.05400818561046043,Sí,Sintética,0.164774377335013,0.07427177022234173,0.2552769844476843
2104,Antofagasta,Taltal,13892.0,1595.0,0.1148022160931823,0.07091958850758522,0.1586848436787793,Sí,Directa y Sintética (Fay-Herriot),0.2114705558481934,0.1399916561066677,0.2829494555897191
2201,Antofagasta,Calama,194772.0,15861.0,0.08143143364954893,0.06260678436029575,0.1002560829388021,Sí,Directa y Sintética (Fay-Herriot),0.1677233196328674,0.1405928807703646,0.1948537584953702
2202,Antofagasta,Ollagüe,277.0,24.0,0.08721221547732894,0.01064017280689068,0.1637842581477672,No,Sintética,0.1608481061808905,0.0721307083203344,0.2495655040414466
2203,Antofagasta,San Pedro De Atacama,10862.0,529.0,0.04873007866767889,0.02416158309551403,0.07329857423984375,Sí,Directa y Sintética (Fay-Herriot),0.2245942479535965,0.1790508305275014,0.2701376653796916
2301,Antofagasta,Tocopilla,28296.0,2951.0,0.1042763665480032,0.06634597290186289,0.1422067601941435,Sí,Directa y Sintética (Fay-Herriot),0.2051571437541616,0.1491876348370382,0.2611266526712849
2302,Antofagasta,María Elena,6647.0,369.0,0.05551379624560721,0.0,0.1195448046153366,Sí,Sintética,0.1517437187823854,0.07719200219157485,0.2262954353731959
3101,Atacama,Copiapó,174693.0,12635.0,0.07232720034645454,0.06013647624009284,0.08451792445281625,Sí,Directa y Sintética (Fay-Herriot),0.1982542830041192,0.179991867570217,0.2165166984380213
3102,Atacama,Caldera,19782.0,813.0,0.04111121416646405,0.01627929088312305,0.06594313744980505,Sí,Directa y Sintética (Fay-Herriot),0.1966349164476661,0.1526767116586407,0.2405931212366915
3103,Atacama,Tierra Amarilla,14407.0,990.0,0.06874896010670549,0.04264420866697707,0.0948537115464339,Sí,Directa y Sintética (Fay-Herriot),0.3451075486732856,0.2985089545799157,0.3917061427666555
3201,Atacama,Chañaral,13094.0,1501.0,0.1146199488480459,0.08515811152642969,0.1440817861696621,Sí,Directa y Sintética (Fay-Herriot),0.2279385710690415,0.1821454458660544,0.2737316962720285
3202,Atacama,Diego De Almagro,14082.0,800.0,0.05680425565407982,0.03363879853415188,0.07996971277400775,Sí,Directa y Sintética (Fay-Herriot),0.1893702187897611,0.1443216059294069,0.2344188316501153
3301,Atacama,Vallenar,57266.0,6143.0,0.1072782589700814,0.08833124101994491,0.1262252769202178,Sí,Directa y Sintética (Fay-Herriot),0.1651411853990985,0.140953251855693,0.1893291189425039
3302,Atacama,Alto Del Carmen,5763.0,868.0,0.1506112891152991,0.08682154458983893,0.2144010336407592,Sí,Sintética,0.2788362012505808,0.1888628126091477,0.3688095898920139
